marche,etage,n,obs,ref,delta,roi,roi_lo,roi_hi,ic_lo,ic_hi,z,p,saisons_pos,saisons_tot,pct_cloture,statut,id,nom,fdr,verdict
WIN_ADV,2,1057,0.3576158940397351,0.35077459755648127,0.0068412964832538226,-0.0014853358561967768,-0.09921274566969787,0.09624207395730433,0.3292841521594438,0.38697886015078226,0.5003058556259915,0.6168597316001214,5.0,10.0,1.0,,HC-01,Fatigue asymetrique,False,BRUIT
DC_ADV,2*,1057,0.5969725638599811,0.6141216496261248,-0.017149085766143712,,,,0.567102101516225,0.626140697408704,-1.2334036777502735,0.217425193557101,3.0,10.0,1.0,,HC-01,Fatigue asymetrique,False,BRUIT
WIN_ADV,2,159,0.5345911949685535,0.5344559029969117,0.0001352919716417489,-0.022012578616352214,-0.19217301405429618,0.14814785682159173,0.457157962499145,0.6103923440564282,0.003789621119292764,0.9969763270549017,3.0,8.0,1.0,,HC-03,Enjeu asymetrique,False,BRUIT
DC_ADV,2*,159,0.7232704402515723,0.7506180503337558,-0.02734761008218356,,,,0.6490866905491411,0.786919833582285,-0.8599207300230071,0.38983274049726924,2.0,8.0,1.0,,HC-03,Enjeu asymetrique,False,BRUIT
WIN_SELF,2,384,0.734375,0.7392587181229278,-0.00488371812292776,-0.03380208333333333,-0.09520946772301588,0.027605301056349216,0.6880358194964518,0.7760711767618145,-0.22826981141668534,0.8194364920342712,5.0,10.0,1.0,,HC-04,Forteresse vs voyageur malade,False,BRUIT
CS_SELF,1,386,0.49222797927461137,0.31647624414191194,0.17575173513269943,,,,0.4426761947028315,0.5419329388529512,7.448739458822172,9.414691248821327e-14,10.0,10.0,,,HC-04,Forteresse vs voyageur malade,True,SIGNAL_E1
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),HC-05,Regression croisee,False,NON_EVALUE (xG absent)
O25,2,1130,0.5168141592920354,0.5475978022641503,-0.03078364297211489,-0.08911504424778761,-0.14172139782974646,-0.03650869066582876,0.4876697834739186,0.5458445980763793,-2.1069196799521523,0.03512454241589569,2.0,6.0,1.0,,HC-06,Duel de passoires,False,BRUIT
BTTS_Y,1,1868,0.538543897216274,0.5467471986856771,-0.008203301469403068,,,,0.5158808413129533,0.5610487450366607,-0.7150577233024923,0.4745733759027906,4.0,10.0,,,HC-06,Duel de passoires,False,BRUIT
O35,1,1868,0.29336188436830835,0.33472130365500974,-0.04135941928670139,,,,0.27315528378008325,0.3144166560678183,-3.8241697403771835,0.00013121349820899297,1.0,10.0,,,HC-06,Duel de passoires,True,SIGNAL_E1
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),HC-07,Duel de verrous,False,NON_EVALUE (xG absent)
O05_MT1,1,1955,0.738618925831202,0.7174775290872204,0.021141396743981633,,,,0.7186870833181711,0.757614828995719,2.0855085403893776,0.0370231637452727,8.0,10.0,,,HC-08,MT1 croisee,False,BRUIT
MT1_ADV,1,1955,0.38158567774936064,0.29537980782273277,0.08620586992662788,,,,0.3603040877069483,0.40333172643953513,8.406188642325054,0.0,10.0,10.0,,,HC-08,MT1 croisee,True,SIGNAL_E1
O15_MT1,1,1955,0.3652173913043478,0.35889936419306046,0.006318027111287372,,,,0.34415726280430037,0.38680618007949386,0.5854539389937394,0.5582425293216575,6.0,10.0,,,HC-08,MT1 croisee,False,BRUIT
O45_CARTONS,1,0,,,,,,,,,,,,,,VIDE,HC-10,Derby sous sifflet severe,False,VIDE
WIN_ADV,2,98,0.6326530612244898,0.5655922050200948,0.06706085620439506,0.2107142857142857,-0.023604725838890922,0.4450332972674623,0.5338857137383178,0.7214127104812545,1.464085952622468,0.1431704649425205,4.0,5.0,1.0,,HC-11,Frustration vs momentum,False,BRUIT
DC_ADV,2*,98,0.8367346938775511,0.7891822731128642,0.04755242076468691,,,,0.751132386961264,0.8969328437499582,1.2363203391048223,0.21633951375785943,3.0,5.0,1.0,,HC-11,Frustration vs momentum,False,BRUIT
WIN_ADV,2,2207,0.50747621205256,0.4897495921481031,0.017726619904456897,0.04381060262800182,-0.006155958927985643,0.09377716418398929,0.486623169545238,0.5283032729461642,1.7593555108073433,0.07851714346345662,6.0,10.0,1.0,,HC-12,Lendemain de fete,False,BRUIT
DC_ADV,2*,2207,0.7621205256003625,0.7471165005655462,0.015004025034816237,,,,0.7439104751491545,0.7794196449281952,1.6901503822050579,0.09099918813893604,8.0,10.0,1.0,,HC-12,Lendemain de fete,False,BRUIT
O25,2,160,0.5625,0.5737711090234147,-0.01127110902341466,-0.053000000000000005,-0.18563147898447813,0.0796314789844781,0.48505879638054433,0.6370103240382016,-0.2921577109744685,0.7701660434558282,2.0,5.0,1.0,,HC-13,Gala bilateral,False,BRUIT
BTTS_Y,1,268,0.6194029850746269,0.5322506405023387,0.08715234457228815,,,,0.5599721308438009,0.6754590908676664,2.87152304723788,0.004084989932533478,7.0,9.0,,,HC-13,Gala bilateral,True,INTERESSANT_N_INSUFFISANT
