provider,competition,season,column,rows,zeros,missing,non_zero,zero_rate,min_value,median_value,max_value,artificial_probability,quality_status,impact
football-data.co.uk,N1,2021-22,hy,306,95,0,211,0.3104575163398693,0.0,1.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2021-22,ay,306,66,0,240,0.21568627450980393,0.0,1.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2021-22,hr,306,282,0,24,0.9215686274509803,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2021-22,ar,306,290,0,16,0.9477124183006536,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2021-22,hc,306,5,0,301,0.016339869281045753,0.0,5.0,18.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2021-22,ac,306,18,0,288,0.058823529411764705,0.0,4.0,18.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2022-23,hthg,306,146,0,160,0.477124183006536,0.0,1.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2022-23,htag,306,176,0,130,0.5751633986928104,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2022-23,hy,306,80,0,226,0.26143790849673204,0.0,1.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2022-23,ay,306,58,0,248,0.1895424836601307,0.0,1.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2022-23,hr,306,287,0,19,0.9379084967320261,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2022-23,ar,306,285,0,21,0.9313725490196079,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2022-23,hc,306,3,0,303,0.00980392156862745,0.0,6.0,18.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2022-23,ac,306,9,0,297,0.029411764705882353,0.0,4.0,14.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2023-24,hthg,306,151,0,155,0.4934640522875817,0.0,1.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2023-24,htag,306,173,0,133,0.565359477124183,0.0,0.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2023-24,hy,306,88,0,218,0.2875816993464052,0.0,1.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2023-24,ay,306,65,0,241,0.21241830065359477,0.0,2.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2023-24,hr,306,279,0,27,0.9117647058823529,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2023-24,ar,306,282,0,24,0.9215686274509803,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2023-24,hc,306,3,0,303,0.00980392156862745,0.0,5.0,19.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2023-24,ac,306,20,0,286,0.06535947712418301,0.0,4.0,14.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2024-25,hthg,306,143,0,163,0.4673202614379085,0.0,1.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2024-25,htag,306,176,0,130,0.5751633986928104,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2024-25,hy,306,91,0,215,0.2973856209150327,0.0,1.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2024-25,ay,306,61,0,245,0.19934640522875818,0.0,2.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2024-25,hr,306,279,0,27,0.9117647058823529,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2024-25,ar,306,284,0,22,0.9281045751633987,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2024-25,hc,306,3,0,303,0.00980392156862745,0.0,5.0,15.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2024-25,ac,306,12,0,294,0.0392156862745098,0.0,4.0,15.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2025-26,hthg,306,113,0,193,0.369281045751634,0.0,1.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2025-26,htag,306,169,0,137,0.5522875816993464,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2025-26,hy,306,66,0,240,0.21568627450980393,0.0,1.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2025-26,ay,306,46,0,260,0.1503267973856209,0.0,2.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2025-26,hr,306,285,0,21,0.9313725490196079,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2025-26,ar,306,275,0,31,0.8986928104575164,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2025-26,hc,306,0,0,306,0.0,1.0,5.0,19.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2025-26,ac,306,14,0,292,0.0457516339869281,0.0,4.0,14.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,P1,2015-16,hthg,306,146,0,160,0.477124183006536,0.0,1.0,4.0,0.05,OBSERVED,aucun verrou automatique
